age_bracket,education_level,income_bracket,gender,geographic_region,urban_rural,industry_sector,job_type,ai_familiarity_score,ai_use_frequency,task_performance_metric,confidence_change,behavioral_intent_change,self_reported_productivity_change_pct,concerns,use_cases
25-34,Some college / Associate,50-100k,male,Midwest,urban,Education,Individual Contributor,2,never,100,-0.149497156,1.627681439,-2.299868278,ethics,customer_service
35-44,Bachelor's,100-200k,female,Midwest,urban,Other,Individual Contributor,4,never,65.40352832,1.23464789,1.221678564,3.254569738,privacy,analytics
25-34,High School or less,<25k,female,Northeast,suburban,Education,Individual Contributor,7,never,79.69545278,5.023105354,0.591924947,13.36499417,ethics,augmentation
18-24,Doctorate/Prof,200k+,male,South,urban,Government,Individual Contributor,4,never,75.86408374,0.757165681,1.351355269,12.21882951,job_loss|privacy|ethics,augmentation
55-64,Bachelor's,100-200k,male,Northeast,urban,Other,Individual Contributor,7,never,100,5.164217012,2.904924958,10.13975546,transparency,customer_service
45-54,Bachelor's,50-100k,female,Midwest,urban,Other,Individual Contributor,5,rarely,89.41438178,2.793489684,3.378314563,8.649038149,safety|transparency,customer_service|analytics
25-34,Bachelor's,50-100k,female,South,rural,Finance,Individual Contributor,5,daily,52.98446684,0.654551009,1.813153237,8.177503534,accuracy|regulation,analytics
45-54,Some college / Associate,25-50k,female,Midwest,urban,Finance,Manager,5,rarely,85.3791814,0.93964977,2.71203133,-0.183181689,safety,automation
35-44,High School or less,100-200k,male,West,suburban,Other,Skilled Trade,9,never,60.98541988,3.319455592,2.858962787,5.811601402,job_loss|accuracy,automation
18-24,Some college / Associate,100-200k,male,Northeast,urban,Technology,Clerical/Support,4,rarely,92.80488734,-2.148532542,0.894655056,10.97624746,privacy|bias,augmentation|hiring
45-54,Bachelor's,25-50k,female,Midwest,suburban,Other,Skilled Trade,7,never,100,1.897318042,1.472165739,-5.416872562,job_loss|transparency,agents
35-44,Some college / Associate,50-100k,male,Northeast,suburban,Retail,Individual Contributor,5,monthly,85.74174651,-1.148456343,-1.110679479,-0.646024733,job_loss,analytics
18-24,Master's,100-200k,female,West,urban,Manufacturing,Skilled Trade,5,rarely,69.52772344,-0.695431043,0.590884371,-0.872578618,transparency,analytics
25-34,Some college / Associate,200k+,nonbinary,West,suburban,Technology,Manager,7,never,72.24222116,2.634411809,3.283125885,14.02822935,ethics,analytics
45-54,High School or less,<25k,male,South,suburban,Services,Skilled Trade,5,monthly,58.50371325,0.588601812,1.13498829,-6.850858065,job_loss,automation|augmentation
45-54,High School or less,<25k,male,South,urban,Healthcare,Individual Contributor,3,monthly,89.71603039,2.65083907,1.871937924,-0.037895892,bias,augmentation
45-54,Bachelor's,100-200k,female,West,urban,Services,Manager,5,never,60.27970277,1.477560802,0.777743072,16.42061487,job_loss|privacy,agents|augmentation
65+,Some college / Associate,25-50k,female,Midwest,rural,Services,Individual Contributor,7,rarely,78.37981355,2.23338327,3.580965586,1.806171733,bias|ethics,automation|content_generation
45-54,Some college / Associate,50-100k,female,Midwest,urban,Healthcare,Individual Contributor,5,never,83.06697386,2.764390097,3.367417519,4.135752733,regulation,automation
35-44,Bachelor's,50-100k,nonbinary,Midwest,rural,Manufacturing,Manager,7,never,85.7166153,4.688339432,2.281307669,-3.775190019,accuracy,customer_service|content_generation
55-64,Bachelor's,50-100k,female,West,suburban,Other,Manager,5,never,80.93871718,2.195922976,1.875513604,5.653500503,job_loss|ethics,automation|augmentation
65+,Some college / Associate,25-50k,female,South,urban,Finance,Manager,9,rarely,82.42049233,3.36465535,0.811732466,5.838182255,accuracy,customer_service
65+,Bachelor's,25-50k,female,Northeast,urban,Finance,Manager,9,never,51.93623458,5.94502567,2.475515007,8.470636514,privacy|regulation,hiring
25-34,Some college / Associate,<25k,female,South,urban,Retail,Individual Contributor,6,never,69.77970619,2.426421936,2.187966718,2.707708209,job_loss,customer_service|content_generation
55-64,High School or less,25-50k,female,Midwest,urban,Healthcare,Individual Contributor,3,never,42.14771066,2.352894523,0.898426171,-5.18686599,bias|transparency,automation
55-64,High School or less,<25k,male,South,urban,Retail,Individual Contributor,3,never,80.40605569,-1.538406438,0.42472462,-4.247328906,privacy,analytics
35-44,Some college / Associate,50-100k,nonbinary,West,suburban,Finance,Executive,8,never,91.54948942,-0.146526024,-1.51018668,0.2639636,privacy,augmentation
25-34,Master's,50-100k,male,Northeast,urban,Healthcare,Individual Contributor,6,never,64.64641115,2.931638779,2.014692421,-6.954779349,safety,analytics
25-34,Bachelor's,<25k,male,Northeast,urban,Government,Individual Contributor,6,never,67.93553708,0.483974166,-0.204046096,8.316139476,transparency,hiring
35-44,Bachelor's,50-100k,male,Midwest,urban,Services,Individual Contributor,8,never,84.2000271,-2.573102745,-0.402156459,0.601065879,regulation,hiring
25-34,Master's,50-100k,male,South,urban,Other,Clerical/Support,3,never,58.08247169,2.304178605,2.918897191,9.057351525,job_loss|safety,automation
55-64,Bachelor's,50-100k,female,South,urban,Services,Individual Contributor,3,never,67.68766367,1.940044677,2.589243436,10.12360516,job_loss,analytics|content_generation
25-34,Bachelor's,50-100k,female,West,suburban,Healthcare,Individual Contributor,6,daily,67.59963167,1.084326813,-0.325377027,12.55353006,accuracy,content_generation
25-34,High School or less,25-50k,male,Midwest,urban,Other,Individual Contributor,6,never,92.3948079,3.660041687,2.476346121,6.647580113,transparency,augmentation|content_generation
65+,Master's,<25k,male,South,suburban,Finance,Skilled Trade,0,never,47.77118925,0.669519461,0.978242918,4.160209878,accuracy,analytics
25-34,Bachelor's,100-200k,male,Midwest,urban,Education,Individual Contributor,4,daily,64.47258548,0.028283545,0.730707113,7.117459251,bias,augmentation|customer_service
55-64,High School or less,100-200k,male,South,urban,Manufacturing,Individual Contributor,7,daily,63.19439938,0.569402849,0.223723128,5.520917856,bias|ethics,analytics
35-44,Some college / Associate,25-50k,female,West,urban,Healthcare,Clerical/Support,8,never,78.31021363,2.609635197,0.21438915,22.52627142,privacy|transparency,augmentation|customer_service
18-24,High School or less,25-50k,male,South,urban,Education,Manager,2,never,85.354625,2.416743306,1.393238678,-2.488102906,ethics,content_generation
55-64,High School or less,25-50k,female,South,suburban,Finance,Individual Contributor,6,never,77.03895003,0.504197171,1.791961175,7.676490402,job_loss|privacy,augmentation
25-34,Some college / Associate,50-100k,female,West,rural,Manufacturing,Manager,5,weekly,73.13039973,0.98322265,1.013675901,-1.151951255,job_loss,automation|analytics
65+,Doctorate/Prof,<25k,female,Midwest,rural,Retail,Individual Contributor,6,daily,89.27600222,1.77494047,2.574253139,1.00450041,privacy,analytics
45-54,Bachelor's,25-50k,female,South,suburban,Technology,Individual Contributor,5,never,80.2602428,-0.208259929,2.355284305,1.561513593,regulation,customer_service|agents
35-44,Some college / Associate,50-100k,female,South,urban,Services,Clerical/Support,4,never,76.57097795,1.557857635,1.608045777,7.523859044,accuracy,hiring
45-54,High School or less,50-100k,female,South,suburban,Healthcare,Individual Contributor,5,monthly,77.13373635,-0.114526432,1.13157585,-1.999171594,ethics|regulation,analytics
45-54,High School or less,200k+,female,Midwest,urban,Other,Individual Contributor,2,never,64.61870288,-0.653693792,0.049341109,8.173766508,regulation,augmentation
45-54,Some college / Associate,25-50k,male,West,urban,Finance,Manager,0,never,44.02808561,0.914827527,0.010713777,7.513262687,transparency,automation
18-24,Doctorate/Prof,100-200k,female,Midwest,rural,Retail,Manager,8,never,74.41830933,2.221997094,1.656665775,7.493287871,accuracy|ethics|regulation,analytics
18-24,Some college / Associate,25-50k,female,Northeast,urban,Services,Skilled Trade,5,rarely,76.10960819,0.981350336,0.173516886,-1.715941558,privacy,augmentation|customer_service
35-44,Bachelor's,25-50k,female,Northeast,urban,Services,Individual Contributor,7,never,71.09249507,4.584567972,1.771092795,1.069237934,job_loss|transparency|regulation,customer_service
25-34,High School or less,50-100k,female,Northeast,suburban,Other,Clerical/Support,4,never,65.09532455,1.746769367,3.072873888,-2.643819217,job_loss,augmentation|hiring
45-54,Some college / Associate,200k+,female,West,urban,Other,Individual Contributor,5,rarely,79.68175149,0.730326717,1.894546299,11.78680608,privacy,automation
18-24,Bachelor's,25-50k,female,South,suburban,Services,Skilled Trade,7,never,76.80830973,-0.425495653,-0.099192132,12.3257226,job_loss,augmentation|automation
25-34,Bachelor's,25-50k,female,South,urban,Other,Individual Contributor,4,daily,83.5987453,-0.263361045,-0.085777012,-12.12269333,bias,automation
55-64,Some college / Associate,50-100k,male,West,urban,Technology,Skilled Trade,1,never,82.39357852,0.258960489,3.932929488,8.268203705,accuracy,automation|customer_service
35-44,Bachelor's,50-100k,female,South,urban,Other,Skilled Trade,4,never,67.84812152,0.119515691,3.692670066,9.845168445,bias,analytics
45-54,Master's,50-100k,female,West,urban,Finance,Individual Contributor,1,never,70.4697315,-0.950680068,-0.373046282,3.228609153,ethics,analytics
45-54,Doctorate/Prof,100-200k,male,Midwest,urban,Manufacturing,Manager,8,never,74.4528022,2.876910813,2.083749934,1.125567889,bias|accuracy|ethics,analytics
35-44,Bachelor's,<25k,female,South,urban,Government,Manager,4,rarely,92.79747102,0.775498564,2.581754456,-8.854680852,bias,automation|analytics
35-44,Bachelor's,<25k,male,South,urban,Finance,Manager,2,rarely,56.62339286,-0.045401426,2.6568749,1.699833384,safety,analytics
45-54,Some college / Associate,<25k,female,West,suburban,Technology,Manager,6,never,92.22716862,1.791159209,2.600181271,7.269265573,privacy,customer_service
45-54,Some college / Associate,25-50k,female,South,suburban,Services,Individual Contributor,9,monthly,69.55332488,2.974413842,2.348468026,7.091041952,regulation,automation|augmentation
18-24,High School or less,50-100k,female,Midwest,suburban,Healthcare,Individual Contributor,5,rarely,73.80201782,-0.472195031,-0.09717662,1.638326028,privacy,analytics
65+,High School or less,25-50k,male,South,urban,Services,Individual Contributor,7,never,93.05458774,3.350310604,1.211533867,8.516739766,privacy,analytics
25-34,Doctorate/Prof,100-200k,male,Midwest,suburban,Retail,Clerical/Support,6,never,84.41944284,-0.309387864,-0.087721556,4.531271019,bias,automation
18-24,High School or less,<25k,male,South,suburban,Services,Manager,5,never,76.09253354,1.063333086,-0.220891117,19.36195086,job_loss,augmentation|agents
55-64,High School or less,50-100k,male,South,urban,Services,Individual Contributor,6,daily,73.29536721,0.447200772,-0.128187708,6.791457197,transparency,analytics|content_generation
35-44,High School or less,50-100k,female,West,urban,Technology,Clerical/Support,3,never,60.86383645,1.190586237,3.551983582,14.16111395,job_loss|ethics,automation|augmentation
45-54,Some college / Associate,25-50k,female,South,urban,Other,Manager,4,weekly,79.20126169,1.289161288,1.746409311,9.081459251,privacy,augmentation|analytics
35-44,High School or less,25-50k,male,South,suburban,Other,Skilled Trade,4,never,70.94022788,1.206278104,-0.88241712,4.307656298,safety,automation
25-34,High School or less,<25k,nonbinary,South,suburban,Services,Skilled Trade,8,weekly,89.89110927,4.488652263,3.015592844,-2.470585931,safety,analytics|content_generation
55-64,High School or less,50-100k,female,South,urban,Education,Clerical/Support,4,rarely,78.91608019,0.848190412,0.44788752,3.385733946,job_loss,augmentation
65+,Master's,100-200k,male,South,urban,Services,Individual Contributor,5,daily,46.5270317,0.233267461,0.062097629,13.07945648,accuracy,augmentation|content_generation
25-34,Bachelor's,25-50k,male,South,suburban,Education,Individual Contributor,10,daily,82.89909711,5.528284431,2.221421142,7.937345461,transparency,augmentation
45-54,Bachelor's,100-200k,female,Midwest,urban,Other,Individual Contributor,9,never,67.09826157,4.366472295,2.675648875,1.669291787,privacy,customer_service
55-64,High School or less,<25k,female,South,urban,Services,Individual Contributor,0,never,70.91883664,0.567431496,2.921734348,-6.208372721,privacy,hiring
25-34,Some college / Associate,25-50k,nonbinary,Northeast,rural,Retail,Manager,2,never,55.82349934,0.592357613,0.669149401,-8.235182467,job_loss|regulation,customer_service|content_generation
45-54,High School or less,25-50k,female,Midwest,rural,Retail,Manager,10,rarely,71.0163013,6.110735541,2.077243814,11.20730233,privacy,analytics
18-24,Bachelor's,25-50k,male,South,rural,Services,Individual Contributor,6,never,72.68418117,-1.338605907,1.268896469,6.896851066,bias,customer_service|content_generation
35-44,High School or less,25-50k,male,South,suburban,Manufacturing,Individual Contributor,4,never,75.0264082,0.38646837,-0.285151159,-0.472326295,accuracy,analytics
18-24,Master's,100-200k,male,West,urban,Services,Individual Contributor,7,never,72.83948229,2.316715636,1.560784672,3.834900447,transparency,augmentation
35-44,High School or less,50-100k,male,South,urban,Other,Individual Contributor,8,rarely,65.04251963,6.487707355,2.476342527,-5.633401091,ethics,customer_service|automation
25-34,High School or less,25-50k,female,Midwest,urban,Finance,Individual Contributor,3,never,77.96483235,-0.439667688,1.029484809,-8.838711866,job_loss|privacy,customer_service
55-64,High School or less,25-50k,female,Northeast,urban,Other,Manager,1,weekly,63.19063704,-0.197485015,0.637716989,-5.324061275,safety|transparency,analytics
35-44,Some college / Associate,50-100k,female,South,urban,Government,Clerical/Support,9,monthly,93.90068995,5.438234845,1.472258685,11.83911556,privacy,automation
25-34,High School or less,<25k,male,Northeast,urban,Healthcare,Individual Contributor,5,weekly,83.60867213,3.135869775,1.557485632,7.779450104,accuracy,automation|augmentation
45-54,Some college / Associate,50-100k,male,West,urban,Finance,Clerical/Support,5,never,64.29274175,0.029023455,-0.403832939,-5.961909954,privacy,analytics
35-44,High School or less,25-50k,female,South,urban,Other,Clerical/Support,4,rarely,97.50892236,1.511228703,2.64838085,4.207940151,bias|regulation,augmentation|analytics
65+,High School or less,50-100k,female,Midwest,urban,Education,Executive,6,weekly,89.04212348,1.182001978,2.523360776,1.452853987,privacy,automation
65+,Bachelor's,<25k,male,Midwest,urban,Other,Individual Contributor,8,never,58.1010307,1.112818937,0.722955845,6.332391348,ethics,augmentation
25-34,Master's,<25k,male,Northeast,rural,Technology,Individual Contributor,6,rarely,66.73402057,0.042622505,-0.563981757,9.097997043,job_loss,hiring|content_generation
35-44,High School or less,100-200k,male,Northeast,urban,Other,Individual Contributor,6,rarely,79.37129204,3.633285843,3.577550561,8.51474047,regulation,analytics
55-64,High School or less,<25k,male,Midwest,suburban,Services,Individual Contributor,3,never,58.45684763,2.537059492,2.627062594,-0.269613872,job_loss,customer_service|content_generation
65+,Some college / Associate,50-100k,female,South,suburban,Other,Individual Contributor,7,never,53.99533102,0.588797703,1.106387814,10.70981268,job_loss|transparency,content_generation
25-34,High School or less,25-50k,male,West,rural,Services,Individual Contributor,4,rarely,75.85770363,2.429164678,-0.266988687,5.712903792,accuracy|ethics,customer_service
45-54,Some college / Associate,50-100k,female,South,urban,Services,Skilled Trade,7,never,77.12751645,2.831276736,2.470146903,-4.022761008,job_loss,augmentation
35-44,Master's,<25k,female,South,urban,Other,Clerical/Support,0,weekly,77.06788396,-0.015465587,0.681681666,-4.479711475,bias,augmentation|agents
35-44,Bachelor's,25-50k,female,Midwest,urban,Government,Individual Contributor,4,rarely,56.65602817,1.750133187,1.540147279,-7.31004346,job_loss,automation|augmentation
25-34,Some college / Associate,50-100k,female,Midwest,urban,Services,Individual Contributor,4,never,57.2952996,-0.336977952,-0.697438218,-0.67530763,accuracy|ethics,hiring
18-24,High School or less,25-50k,female,South,urban,Services,Individual Contributor,0,never,93.27859766,-0.011112136,0.837614297,1.282848948,bias,automation
45-54,Doctorate/Prof,50-100k,male,South,urban,Retail,Skilled Trade,7,never,71.88827756,1.71133208,1.86043226,11.18724789,bias,customer_service
18-24,Bachelor's,100-200k,male,Northeast,suburban,Healthcare,Clerical/Support,6,never,67.25713058,1.196301003,1.604128233,16.97141205,accuracy|regulation,analytics
45-54,Bachelor's,50-100k,female,West,urban,Services,Manager,5,rarely,73.47980989,1.281675544,1.137586912,8.280651765,job_loss|bias|ethics,augmentation
35-44,Some college / Associate,25-50k,male,Northeast,rural,Finance,Individual Contributor,8,rarely,84.82917753,4.711154005,1.782822907,4.601580865,bias,automation|augmentation
35-44,High School or less,25-50k,female,Northeast,urban,Services,Individual Contributor,6,never,60.51467563,1.699922371,-0.203057418,15.19298621,privacy,analytics
25-34,Bachelor's,25-50k,male,Northeast,urban,Other,Individual Contributor,5,never,68.99852228,1.003896953,1.576870357,7.630143649,accuracy,analytics
25-34,High School or less,50-100k,male,Midwest,urban,Healthcare,Individual Contributor,6,rarely,74.78009596,-0.469411792,-0.209862694,15.1303341,privacy|accuracy,analytics
55-64,High School or less,50-100k,nonbinary,South,suburban,Services,Individual Contributor,1,never,68.89820689,-1.092480139,2.618431079,-7.054625427,accuracy|safety,content_generation
45-54,High School or less,50-100k,male,West,urban,Other,Manager,8,daily,72.03534158,2.978094014,3.567399054,-1.72312304,privacy,augmentation
18-24,Bachelor's,50-100k,female,West,suburban,Healthcare,Individual Contributor,1,monthly,83.36118807,-0.533947723,-0.123853693,7.292423617,accuracy,analytics
45-54,Master's,100-200k,female,Midwest,urban,Other,Individual Contributor,1,never,75.00523004,0.439776218,1.176844069,2.950537418,bias,automation|content_generation
55-64,Doctorate/Prof,50-100k,male,Midwest,suburban,Other,Individual Contributor,6,rarely,65.14445396,-1.285611488,-0.064012371,8.621943208,bias|transparency,agents
18-24,Bachelor's,25-50k,male,South,urban,Retail,Manager,3,monthly,46.89660594,1.159100471,2.999823755,-3.568155115,bias,content_generation
25-34,Some college / Associate,50-100k,male,South,urban,Other,Individual Contributor,4,never,80.19560149,1.573899079,0.983924,5.627921222,safety,customer_service
25-34,Some college / Associate,25-50k,male,Midwest,urban,Technology,Manager,4,never,68.99610956,-1.779102762,-0.963125987,9.620197416,privacy|transparency,analytics
35-44,High School or less,<25k,female,South,urban,Education,Individual Contributor,9,rarely,56.99573953,1.927332158,1.194250776,16.49422227,job_loss,analytics
25-34,Some college / Associate,25-50k,male,Midwest,suburban,Technology,Manager,5,never,76.92634836,0.952936516,0.244326454,4.195555147,job_loss,customer_service
45-54,High School or less,200k+,male,Northeast,urban,Government,Skilled Trade,7,rarely,74.8225811,4.18100551,2.630850445,2.946312864,accuracy,augmentation
65+,Some college / Associate,25-50k,male,West,urban,Services,Manager,1,monthly,84.67413706,1.388096452,2.354148634,-0.996347897,bias,augmentation|agents
45-54,Master's,25-50k,female,South,urban,Other,Executive,7,never,80.0682555,2.193065971,4.060066118,11.65327668,accuracy,automation
18-24,Some college / Associate,<25k,female,West,rural,Other,Individual Contributor,4,weekly,46.01495093,0.61961676,0.929689663,8.524702631,accuracy|transparency,augmentation|analytics
35-44,High School or less,25-50k,female,South,urban,Manufacturing,Manager,5,never,68.0747383,3.359678577,1.609242738,-0.671957693,transparency,automation|content_generation
45-54,High School or less,<25k,male,Midwest,urban,Finance,Skilled Trade,9,rarely,92.86325032,2.993525658,2.007016953,0.429149003,privacy|accuracy|transparency,analytics
45-54,Bachelor's,100-200k,female,West,suburban,Retail,Individual Contributor,5,daily,58.23795418,-0.310221347,-1.257839386,4.898654349,privacy,augmentation|customer_service
18-24,High School or less,25-50k,male,South,urban,Finance,Individual Contributor,1,weekly,48.43166241,-1.313632427,3.06134133,-1.266141474,safety,analytics|agents
65+,High School or less,200k+,male,Northeast,urban,Other,Skilled Trade,10,never,69.05005671,-1.097424918,0.729033956,-0.692536183,transparency,augmentation
18-24,High School or less,50-100k,female,Midwest,urban,Technology,Individual Contributor,6,never,74.98887572,-0.583413632,0.519528955,-4.272027973,accuracy,automation|customer_service
25-34,Master's,50-100k,female,Midwest,urban,Manufacturing,Individual Contributor,6,never,70.84456607,3.018710469,2.56916088,7.247986696,privacy,automation
25-34,Master's,25-50k,nonbinary,Midwest,rural,Services,Individual Contributor,7,never,94.73086584,4.170621832,2.619135277,-3.288750843,job_loss|ethics,customer_service|hiring
